"name","other_names","air_dates","air_days","country","duration_mins","episodes","genres","native_name","original_network","mdl_popularity","mdl_rank","mdl_rating","mdl_num_ratings","mdl_tags","mdl_num_watchers"
"Hua Jai Sila","Heart of Stone,Man of Vengeance","Mar  4, 2019 - Jun 10, 2019","Monday,Tuesday","Thailand","60","27","Drama,Romance,Melodrama","หัวใจศิลา","GMM One","1322","534","8.4","1457","First Love,Hidden Identity,Steamy Kiss,Childhood Friends,Double Identity,Revenge,Cold Man/Warm Woman,Real Kisses,Slap And Kiss,Aggressive Male Lead","3165"
"Five Enough",",Five Children,Aiga Dasut","Feb 20, 2016 - Aug 21, 2016","Saturday,Sunday","South Korea","70","54","Comedy,Drama,Romance,Melodrama,Family","아이가 다섯","KBS2","842","540","8.4","2049","Divorced Couple,Marriage,Single Parent,Love Square","4831"
"Suspicious Partner","Beware of This Woman,수상한 로맨스,Soosanghan Pateuneo,Be Careful of This Woman,Soosanghan Romaenseu,이 여자를 조심하세요,Suspicious Romance,Love in Trouble,Yi Yeojareul Joshimhaseyo,Watch Out For This Woman","May 10, 2017 - Jul 13, 2017","Wednesday,Thursday","South Korea","30","40","Suspense,Comedy,Law,Romance,Thriller,Crime","수상한 파트너","SBS","36","543","8.4","19085","Ex-girlfriend Comes Back,Nice Male Lead,Poor Female Lead,Cohabitation,Tragic Past,Smart Male Lead,Serial Killer,Nice Female Lead,Hardworking Female Lead,Strong Female Lead","36344"
"Bloody Monday 2","ブラッディ・マンデイ シーズン2,Bloody Monday Season 2,Buraddii Mandei 2","Jan 23, 2010 - Mar 20, 2010","","Japan","50","9","Suspense,Action","ブラッディ・マンデイ シー","TBS","561","544","8.4","3887","Nuclear Bomb,Hacker,Hidden Identity,Adapted From A Manga","6977"
"Princess Pearl","Princess Returning Pearl,,Huan Zhu Ge Ge,还珠格格,My Fair Princess","Apr 28, 1998 - Oct 11, 1998","","China","40","24","","還珠格格","Hunan TV","1815","545","0","0","Identity Swap,Princess,Mistaken Identity,Nice Male Lead,Sismance,Qianlong Emperor,Funny Female Lead,Nice Female Lead,Qing Dynasty","2229"
"Journey to the West","xi you ji,Say Yau Kay","Nov 18, 1996 - Dec 27, 1996","Friday,Monday,Thursday,Wednesday,Tuesday","Hong Kong","45","30","Fantasy,Comedy,Adventure,Action,Historical","西遊記","TVB Jade","2998","546","8.5","645","Adapted From A Novel,Wu Cheng'en,Journey To The West","1152"
"Great Men Academy","Great Men Academy สุภาพบุรุษสุดที่เลิฟ","Feb  6, 2019 - Mar 27, 2019","Wednesday","Thailand","60","8","School,Fantasy,Comedy,Youth,Romance","Great Men Academy","GMM One,LINE TV","1461","550","8.4","1287","Bisexual,Unrequited Love,Gay Character,Body Transformation,Magic,Bisexual Character,LGBTQ+,Gender Swap,Love Triangle","2837"
"Nodame Cantabile","","Oct 16, 2006 - Dec 25, 2006","","Japan","45","11","Music,Romance,Comedy","のだめカンタービレ","Fuji TV","229","547","8.4","8467","Violinist,Phobia,Aviophobia,Pianist,Competition,Adapted From A Manga,Orchestra Conductor,College Life,Eccentric Female Lead","14513"
"The Legend of the Blue Sea","La leyenda del mar azul,Pooreun Badaui Junsul,Remember the Blue Sea,Pureun Badaeui Jeonseol","Nov 16, 2016 - Jan 25, 2017","Wednesday,Thursday","South Korea","60","20","Drama,Romance,Fantasy,Comedy","푸른 바다의 전설","SBS","28","548","8.4","21588","Con Artist,Reincarnated Lovers,Naive Female Lead,Woman Loves Eating,Evil Stepmother,Housemate,Female Chases Male First,Mermaid,Eccentric Female Lead,Interspecies Romance","40895"
"Welcome 2 Life","어차피 두번 사는 인생,You only live twice,Living Two Lives Anyway,Welkeom 2 Raipeu,Welcom2laifeu,Welcome2Life","Aug  5, 2019 - Sep 24, 2019","Monday,Tuesday","South Korea","35","32","Fantasy,Comedy,Law,Drama,Romance","웰컴2라이프","MBC","1204","552","8.4","1060","Lawyer,Morally Ambiguous Lead,Tough Female Lead,Smart Male Lead,Prosecutor,Married Couple,Successful Male Lead,Marriage,Strong Female Lead,Competent Protagonist","3465"
"Dark Blue Kiss","","Oct 12, 2019 - Dec 28, 2019","Saturday","Thailand","50","12","Youth,Romance,Comedy","Dark Blue Kiss รักไม่ระบุสถานะ","GMM 25","748","558","8.4","2507","Possessive Male Lead,Supportive Mother-in-law,Gay Character,Secret Relationship,Popular Lead,LGBTQ+,Obssesed Male Lead,Charismatic Lead,Aggressive Male Lead,Gay Relationship","5493"
"God's Quiz","Shinui Quiz,Shin-ui Quiz,Shinui Quijeu,Quiz From God","Oct  8, 2010 - Dec 10, 2010","Friday","South Korea","60","10","Suspense,Investigation,Medical,Drama","신의 퀴즈","OCN","727","555","8.4","2189","Minimal Romance,Forensic,Calm Female Lead,Smart Female Lead,Attempted Assault,Attempted Murder,Police Officer,Psychopathic Killer,Slight Romance,Competent Protagonist","5624"
"Live Up to Your Name","Deserving of the Name,Myeongbulheojeon,Dr. Heo,Live Up to Your Name","Aug 12, 2017 - Oct  1, 2017","Saturday,Sunday","South Korea","70","16","Fantasy,Medical,Comedy,Romance,Historical","명불허전","tvN","408","560","8.4","4244","Overcoming Fear,Joseon Dynasty,Acupuncture,Acupuncturist,Childhood Trauma,Eccentric Male Lead,Time Travel,Trauma,Love Triangle,Strong Female Lead","9134"
"The King's Daughter, Soo Baek Hyang","Emperor's Daughter,Soo Baek Hyang,The Daughter of the Emperor,제왕의 딸,The King's Daughter,Soo Baek-hyang,King's Daughter,King's Daughter Su Baek Hyang,Jewangui Ttal","Sep 30, 2013 - Mar 14, 2014","Friday,Monday,Thursday,Wednesday,Tuesday","South Korea","30","108","Historical,Romance,Drama,Family","제왕의 딸, 수백향","MBC","1212","559","0","0","Swordswoman,Identity Swap,Father-Daughter Relationship,Baekje Dynasty,Sibling,Stolen Identity,Strong Woman,Sword-fight","3456"
"Oshin","","Apr  4, 1983 - Mar 31, 1984","","Japan","15","297","Historical,Drama,Life","おしん","NHK","4648","561","8.7","218","Morning Drama,Poor Characters,Asadora","587"
"Romance is a Bonus Book","Romaenseuneun Byeolchaekburok,How To Publish Love?,Romance Supplement,Romaenseuneun Byulchaekboorok,Romance Is a Supplement","Jan 26, 2019 - Mar 17, 2019","Saturday,Sunday","South Korea","62","16","Business,Comedy,Friendship,Life,Drama,Romance,Melodrama","로맨스는 별책부록","tvN,Netflix","106","563","8.4","11143","Calm Male Lead,Secret Crush,Office Romance,Nice Male Lead,Older Woman/Younger Man,Childhood Friends,Cohabitation,Smart Male Lead,Friends To Lovers,Successful Male Lead","21491"
"The Legends","招搖,Zhao Yao","Jan 28, 2019 - Apr  3, 2019","Monday,Wednesday,Tuesday","China","45","56","Martial Arts,Fantasy,Adventure,Action,Romance,Historical,Wuxia","招摇","Hunan TV,iQiyi","827","565","8.4","1814","Badass Female Lead,Hate To Love,Reincarnation,Steamy Kiss,Unrequited Love,Adapted From A Novel,Female Lead Action Scenes,Sismance,Revenge,Strong Male Lead","4922"
"History of the Salaryman","Selreorimaen Chohanji,Salaryman,Salaryman Chohanji","Jan  2, 2012 - Mar 13, 2012","Monday,Tuesday","South Korea","65","22","Comedy,Political,Drama,Melodrama,Mystery,Crime","샐러리맨 초한지","SBS","726","566","8.4","1901","Riches To Rags,Based On A Legend,Female Antagonist,Slow Burn Romance,Trap,Heiress,Inheritance Theft,Antihero,Rich Woman/Poor Man,Murder","5625"
"The Legend of the Condor Heroes",",Sai Dui Ying Hung Chuan","Feb 21, 1983 - Jul 22, 1983","","Hong Kong","42","59","Wuxia,Romance,Martial Arts,Adventure","射鵰英雄傳","TVB Jade","99999","569","0","0","Badass Female Lead,Sassy Female Lead,Death Of A Parent,Sworn Brothers,Nice Male Lead,Jin Yong,Adapted From A Novel,Condor Heroes,Condor Trilogy,Strong Female Lead","211"
"Touch Your Heart","The Truth Delivered,It Feels Sincere,Reach of Sincerity,Jinsimi Data,The Reach of Sincerity,Jinsimi Dadda","Feb  6, 2019 - Mar 28, 2019","Wednesday,Thursday","South Korea","70","16","Comedy,Life,Law,Drama,Romance","진심이 닿다","tvN","110","572","8.4","10422","Lawyer,Calm Male Lead,Nice Male Lead,Law Firm,Office Romance,Smart Female Lead,Actress,Famous Lead/Common Lead,Hardworking Female Lead,Strong Male Lead","21291"
"Oh My Geum Bi","My Fair Lady,마이 페어 레이디","Nov 16, 2016 - Jan 11, 2017","Wednesday,Thursday","South Korea","60","16","Drama,Melodrama,Family,Comedy","오 마이 금비","KBS2","1127","573","0","0","Single Parent","3709"
"WATCHER","Watchyeo","Jul  6, 2019 - Aug 25, 2019","Saturday,Sunday","South Korea","65","16","Suspense,Political,Psychological,Drama,Detective,Investigation,Thriller","왓쳐","OCN","821","576","8.4","1523","Badass Male Lead,Smart Female Lead,Secret,Strong Female Characters,Corruption,Tragic Past,Smart Male Lead,Mature Protagonist,Trauma,Competent Protagonist","4975"
"Hana Yori Dango","Boys Before Flowers,Flowers Over Boys,Boys Over Flowers","Oct 21, 2005 - Dec 16, 2005","","Japan","45","9","School,Comedy,Drama,Youth,Romance","花より男子","TBS","46","577","8.4","21188","Male Chases Female First,School Bullying,Heir,Arrogant Male Lead,High School,Reverse-Harem,Rich Man/Poor Woman,Adapted From A Manga,Hateful Mother-in-law,Strong Female Lead","31902"
"The First Half of My Life","","Jul  4, 2017 - Jul 26, 2017","Friday,Monday,Thursday,Wednesday,Tuesday","China","45","42","Friendship,Life,Drama,Romance,Family","我的前半生","Dragon TV","3487","578","8.6","272","Adapted From A Novel,Divorce","914"
"Kiss Me","Rak Lon Jai Nai Klaeng Joob,It Started With a Kiss","Oct  5, 2015 - Dec  8, 2015","Monday,Tuesday","Thailand","45","20","School,Romance,Comedy","รักล้นใจนายแกล้งจุ๊บ","True4U","404","582","8.4","4589","Unrequited Love,Childhood Friends,Obsession,Fluffy,High School,Second Lead Syndrome,Lovers Separated,Rain,Female Chases Male First,Nature","9251"
"Oh My Venus","Oh My God,O Mai Bineoseu,오 마이 갓!","Nov 16, 2015 - Jan  5, 2016","Monday,Tuesday","South Korea","60","16","Comedy,Friendship,Life,Law,Drama,Romance,Sports","오 마이 비너스","KBS2","32","581","8.4","23020","Hidden Identity,Makeover,Steamy Kiss,Bromance,Body Image,Cohabitation,Childhood Friends,Boss/Employee Relationship,Weight Loss,Rich Male Lead","39276"
"Ode to Joy 2",",Ode to Joy II,欢乐颂第二季,Ode to Joy Season 2,Huan Le Song Di Er Ji","May 11, 2017 - Jun 12, 2017","Saturday,Friday,Monday,Sunday,Thursday,Wednesday,Tuesday","China","45","55","Life,Romance,Youth,Friendship","欢乐颂2","Dragon TV","2176","579","8.5","691","Adapted From A Novel,Sismance,Multiple Mains,Female Centered Plot,Multiple Couples","1794"
"God's Quiz Season 2","Shinui Kwijeu Shijeun 2,Wrath of God,Shinui Quiz 2","Jun 10, 2011 - Aug 26, 2011","Friday","South Korea","50","12","Drama,Investigation,Medical,Mystery","신의 퀴즈 시즌2","OCN","1359","584","8.4","1535","Sassy Female Lead,SOCIAL JUSTICE,Genetic Disorder,Mental Disorder,Female Warrior,Attempted Murder,Slight Romance,Secret Operation,Hardworking Female Lead,Competent Protagonist","3060"
"Nagi no Oitoma","Nagi's Long Vacation","Jul 19, 2019 - Sep 20, 2019","Friday","Japan","54","10","Romance,Life","凪のお暇","TBS","3334","585","8.5","429","Life Lesson,Heartbreak,Adapted From A Manga,Obsessive Male Lead,Love Triangle","980"
"Koi wa Tsuzuku yo Doko Made mo","Koi wa Tsuzuku yo Dokomade mo,KoiTsudu,Koi wa Tsuzuku yo Dokomademo,Koi Tsudu,恋つづ,Love Lasts Forever","Jan 14, 2020 - Mar 17, 2020","Tuesday","Japan","51","10","Drama,Romance,Medical,Comedy","恋はつづくよどこまでも","TBS","1764","589","8.5","386","First Love,Tsundere,Neighbours,Cold Man,Older Man/Younger Woman,Age Gap,Cold Man/Warm Woman,Adapted From A Manga,Nurse,Doctor","2297"
"My Youth","Wait Up My Youth,Wait My Youth,Deng deng a wo de qing chun,Salute To My Youth","Mar 19, 2019 - Apr 18, 2019","Friday,Monday,Thursday,Wednesday,Tuesday","China","45","24","School,Friendship,Life,Romance,Youth","等等啊我的青春","Youku","1158","587","8.4","1378","First Love,Dream,Life Decisions,Student,Fluffy,Coming Of Age,Jealousy,Youth Romance,High School To Working Life,Love Triangle","3616"
"A Beautiful Mind","닥터 프랑켄슈타인,Dr. Frankenstein,Dagteo Peulangkensyootain,Doctor Frankenstein","Jun 20, 2016 - Aug  2, 2016","Monday,Tuesday","South Korea","60","14","Medical,Psychological,Drama,Romance,Investigation,Melodrama,Mystery","뷰티풀 마인드","KBS2","215","586","8.4","6274","Workplace,Smart Protagonist,Father-Son Relationship,Police Officer,Antisocial Personality Disorder,Emotional Blunting,Serial Killer,Eccentric Male Lead,Socially Awkward Protagonist,Surgeon","14797"
"The Hymn of Death","Hymn of Death,Death Song,Praise of Death,Saui Chanmi,He Hymn of Death","Nov 27, 2018 - Dec  4, 2018","Monday,Tuesday","South Korea","35","6","Music,Romance,Tragedy,Historical","사의 찬미","Netflix,SBS","401","588","8.4","3954","Arranged Marriage,Nice Male Lead,Japanese Colonial Rule,Biographical,Disapproving Parent,Based On True Story,Sad Romance,Rich Male Lead,Forbidden Love,Star Crossed Lovers","9303"
"Mistress","Miseuteuriseu,Mistresses Korea","Apr 28, 2018 - Jun  3, 2018","Saturday,Sunday","South Korea","60","12","Mature,Drama,Romance,Mystery,Thriller","미스트리스","OCN","1177","591","8.4","1009","Sexual Content,Female Centered Plot,Western Series Remake,Sismance","3564"
"King2Hearts","King 2hearts,The King 2hearts,The King 2 Hearts,더킹투허츠,Deo King,The King","Mar 21, 2012 - May 24, 2012","Wednesday,Thursday","South Korea","65","20","Comedy,Political,Drama,Romance,Melodrama,Military","더킹 투하츠","MBC","77","592","8.4","13511","Spoiled Male Lead,Badass Female Lead,Hate To Love,Royalty,Death,Mean Male Lead,Reunification Of Korea,Enemies To Lovers,Hardworking Female Lead,Strong Female Lead","26482"
"What Happens to My Family?","Gajokkkiri Wae Irae,This Is Family,Gajokggiri Wae Yirae,What’s With This Family?,¿Qué pasa con mi familia?","Aug 16, 2014 - Feb 15, 2015","Saturday,Sunday","South Korea","65","53","Drama,Romance,Family,Comedy","가족끼리 왜 이래","KBS2","510","594","8.4","2817","Disease,Father-Son Relationship,Office Romance,Father-Daughter Relationship,Character Development,Boss/Employee Relationship,Sibling,Huge Family,Female Chases Male First,Multiple Couples","7639"
"Voice 3: City of Accomplices","Boiseu 3","May 11, 2019 - Jun 30, 2019","Saturday,Sunday","South Korea","60","16","Psychological,Investigation,Detective,Mystery,Thriller","보이스 3","OCN","1751","599","8.4","1022","Leadership,Secret,Team Work,Smart Female Lead,Psychopath,Smart Male Lead,Tough Male Lead,Serial Killer,Strong Female Lead,Calm Female Lead","2323"
"My Holo Love","and Me,Holo,Me Alone and You,I Holo You,너와 나 혼자 야,You,I'm Alone,I am Alone,Na Hollo Geudae","Feb 7, 2020","Friday","South Korea","55","12","Drama,Romance,Sci-Fi,Melodrama","나 홀로 그대","Netflix","577","608","8.4","3073","Hologram,Prosopagnosia,Action,Healing,Tragic Past,Smart Male Lead,Genius,Hacker,Artificial Intelligence,Trauma","6805"
"Love Sick 2","Love Sick: the Series 2,Love Sick Season 2,Love Sick: the Series Season 2","May  2, 2015 - Oct 10, 2015","Saturday,Sunday","Thailand","45","36","School,Friendship,Life,Drama,Romance,Youth","รักวุ่น วัยรุ่นแสบ ฤดูกาลที่ 2","Channel 9","707","604","8.4","2918","Pretend Relationship,Adapted From A Novel,Gay Character,High School,LGBTQ+,Love Triangle,Multiple Couples,Gay Relationship","5729"
"Okitegami Kyoko no Biboroku",",The Memorandum of Kyoko Okitegami","Oct 10, 2015 - Dec 12, 2015","Saturday","Japan","45","10","Comedy,Investigation,Romance,Detective,Mystery","掟上今日子の備忘録","NTV","862","605","8.4","1799","Male Chases Female First,Nice Male Lead,Crime Solving,Woman Detective,Adapted From A Manga,Amnesia,Idol Actor,Hey! Say! Jump","4720"
"Gank Your Heart","Accompany you to the top of the world,Pei Ni Dao Shi Jie Zhi Dian","Jun  9, 2019 - Jun 13, 2019","Monday,Wednesday,Tuesday,Sunday","China","45","35","Adventure,Friendship,Life,Romance,Youth,Sports","陪你到世界之巅","Mango TV","1054","613","8.4","1363","Personal Growth,Dream,Bromance,Team Work,Competition,E-sport Industry,Hardworking Male Lead,Gaming,Hardworking Female Lead,Strong Female Lead","3973"
"The Most Beautiful Goodbye","Sesangeseo Gajang Areumdawoon Yibyeol,The Most Beautiful Goodbye in the World,The Last Blossom","Dec  9, 2017 - Dec 17, 2017","Saturday,Sunday","South Korea","70","4","Family,Tragedy,Melodrama,Life","세상에서 가장 아름다운 이별","tvN","2336","615","0","0","Tearjerker,SHINee,Terminal Illness,Idol Actor,Alzheimer's Disease,Miniseries","1630"
"One Spring Night","Spring Night,Bombam","May 22, 2019 - Jul 11, 2019","Wednesday,Thursday","South Korea","35","32","Drama,Romance,Melodrama,Life","봄밤","MBC,Netflix","422","618","8.4","4173","Nice Male Lead,Slow Burn Romance,Single Father,Single Parent,Pharmacist,Family Pressure,Librarian,Strong Friendship,Adult Romance,Strong Female Lead","8933"
"His - I Didn't Think I Would Fall In Love","his ~koi suru tsumori nante nakatta~,his ~I Didn't Intend to Fall in Love~","Apr  9, 2019 - May  7, 2019","Tuesday","Japan","23","5","Drama,Romance","His ～恋するつもりなんてなかった～","Nagoya TV","5022","568","8.6","243","Unrequited Love,Gay Character,Seaside,Shy Man,Coming Of Age,LGBTQ+,Miniseries,Surfing,Gay Relationship","515"
"Shinya Shokudo 2","","Oct 13, 2011 - Dec 15, 2011","Thursday","Japan","30","10","Life,Drama,Food,Friendship","深夜食堂2","MBS","3855","619","0","0","Multi Part Story,Adapted From A Manga","789"
"Remember: War of the Son","Remember: War of the Son,War Which to Remember,War of the Sun to Remember,Remember,Remember-Son's War,The Sun Which Made Me Remember The War","Dec  9, 2015 - Feb 18, 2016","Wednesday,Thursday","South Korea","60","20","Suspense,Tragedy,Law,Drama,Romance,Investigation,Melodrama,Thriller,Crime","리멤버 – 아들의 전쟁","SBS","174","622","8.4","7137","Lawyer,Older Woman/Younger Man,Revenge,Alzheimer's Disease,Hyperthymesia","16667"
"Samurai Sentai Shinkenger",",Samurai Sentai Shinkenjaa,Samurai Sentai Shinkenjā","Feb 15, 2009 - Feb  7, 2010","","Japan","25","49","Martial Arts,Fantasy,Comedy,Adventure,Friendship,Tokusatsu,Action,Youth","侍戦隊シンケンジャー","TV Asahi","2885","621","8.5","493","Plot Twist,Elemental Power,Superhero,Samurai,Multi-Generational,Sword-fight","1212"
"Coffee Prince","The 1st Shop of Coffee Prince","Jul  2, 2007 - Aug 28, 2007","Monday,Tuesday","South Korea","60","17","Comedy,Friendship,Food,Drama,Romance","커피프린스 1호점","MBC","14","625","8.4","31570","Coffee Shop,Hidden Identity,Bromance,Tomboy,Pretend Relationship,Love Square,Rich Man/Poor Woman,Cross-Dressing,Eccentric Female Lead,Strong Female Lead","50698"
"Woman","Woman: My Life for My Children","Jul  3, 2013 - Sep 11, 2013","Wednesday","Japan","54","11","Drama,Family,Life","ウーマン","NTV","1928","630","0","0","","2076"
"D-Day","D Day","Sep 18, 2015 - Nov 21, 2015","Saturday,Friday","South Korea","65","20","Drama,Romance,Medical","디데이","jTBC","289","635","8.4","5102","Natural Disaster,Smart Protagonist,Greed,Team Work,Survival,Hospital,Disaster,Doctor,Surgeon,Competent Protagonist","12340"
"Vampire Prosecutor",",Vampire Geumsa,Baempaieo Geomsa","Oct  2, 2011 - Dec 18, 2011","Sunday","South Korea","58","12","Action,Drama,Investigation,Vampire,Mystery","뱀파이어 검사","OCN","336","636","8.4","4691","Violence,Supernatural Power,Cold Man,Detective,Prosecutor,Vampire,Death,Murder","10950"
"Love in the Moonlight","Moonlight Drawn by Clouds,Gooreumi Geurin Dalbit","Aug 22, 2016 - Oct 18, 2016","Monday,Tuesday","South Korea","59","18","Historical,Romance,Drama","구르미 그린 달빛","KBS2","45","639","8.4","15871","First Love,Hidden Identity,Male Chases Female First,Opposites Attract,Bromance,Joseon Dynasty,Cross-Dressing,Prince,Love Triangle,Power Struggle","31904"
"The Eternal Love 2","双世宠妃2,The Eternal Love Season 2,Shuang Shi Chong Fei II","Oct 22, 2018 - Dec  3, 2018","Monday","China","36","30","Martial Arts,Fantasy,Comedy,Adventure,Action,Drama,Romance,Melodrama,Thriller,Historical,Wuxia,Supernatural","双世宠妃II","Tencent Video","800","645","8.4","2109","Sweet Male Lead,Cherry Blossom,Male Chases Female First,Reincarnation,Different Timelines,Rain,Time Travel,Funny Female Lead,Amnesia,Nature","5101"
"Money Flower","돈꽃,Money Bouquet,Donkkot","Nov 11, 2017 - Feb  3, 2018","Saturday","South Korea","60","24","Business,Law,Drama,Romance,Melodrama","돈 꽃","MBC","660","643","8.4","1823","Calm Male Lead,Hidden Identity,Secret Child,Competition,Corruption,Revenge,Tragic Past,Smart Male Lead,Power Struggle,Competent Protagonist","6009"
"Good Doctor","Guddo Dokuta,Good Doctor Japan","Jul 12, 2018 - Sep 13, 2018","Thursday","Japan","46","10","Life,Medical,Drama,Friendship","グッド ドクター","Fuji TV","1571","646","8.4","912","Personal Growth,Disability,Eccentric Male Lead,Autism,Doctor,Surgeon","2625"
"Ossan's Love","Old Man's Love,Ossans Love,Ossan's Love,Ossan zu Rabu","Apr 21, 2018 - Jun  2, 2018","Saturday","Japan","40","7","Romance,Business,Comedy,Friendship","おっさんずラブ","TV Asahi","1153","652","8.4","1593","Obsessive Second Lead,Office Romance,Gay Character,Cohabitation,Sexual Harassment,Boss/Employee Relationship,LGBTQ+,Friends To Lovers,Bisexual Male Lead,Gay Relationship","3633"
"Chugakusei Nikki","Chu-Gakusei Nikki,Meet Me After School,Chuugaku Seinikki,Junior high school diary","Oct  9, 2018 - Dec 18, 2018","Tuesday","Japan","57","11","Drama,School,Romance","中学聖日記","TBS","997","655","8.4","1580","Taboo,Teacher/student,Older Woman/Younger Man,Age Gap,Adapted From A Manga,Bisexual Character,Adult/Minor Relationship,Infidelity,Forbidden Love,Disapproving Parent","4151"
"Eagles and Youngster","天坑鷹獵,Tian keng ying lie","Aug 30, 2018 - Oct  1, 2018","Monday,Thursday","China","45","40","Drama,Martial Arts,Adventure,Friendship","天坑鹰猎","Youku","3673","654","8.6","222","Hunting,Adapted From A Novel,Smart Male Lead,Tomb Raiding,Strong Female Lead","852"
"Doctor X 2","Dokuta-X ~Gekai・Daimon Michiko~","Oct 17, 2013 - Dec 19, 2013","Thursday","Japan","45","9","Drama,Medical","ドクターX　～外科医・大門未知子～","TV Asahi","2226","656","8.4","1037","Smart Female Lead,Hospital,Doctor,Surgeon,Strong Female Lead","1739"
"Rooftop Prince","Attic Prince,El príncipe de la azotea,Oktabbang Wangseja","Mar 21, 2012 - May 24, 2012","Wednesday,Thursday","South Korea","65","20","Comedy,Drama,Romance,Mystery,Historical,Supernatural","옥탑방 왕세자","SBS","38","658","8.3","21010","Reincarnation,Flashback To Past,Joseon Dynasty,Tough Female Lead,Stoic Characters,Hidden Past,Sly Character,Time Travel,Nice Female Lead,Star Crossed Lovers","35827"
"Prince of Lan Ling","兰陵王,The King of Lan Ling,Lan Ling Wang,Masked Beauty","Aug 14, 2013 - Aug 30, 2013","Friday,Monday,Thursday,Wednesday,Tuesday","China","45","46","Historical,Romance,Tragedy,Wuxia","蘭陵王","CCTV","761","661","8.4","1974","Emperor Wen Of Sui,Obsessive Second Lead,Male Chases Female First,Emperor Ming Of Zhou,Death,Obsession,Power Struggle,Love Triangle,Emperor Wu Of Zhou,Strong Female Lead","5367"
"Bokura wa Kiseki de Dekite Iru","Boku Kise,We Are Made of Miracles,僕キセ","Oct  9, 2018 - Dec 11, 2018","Tuesday","Japan","47","10","School,Animals,Life","僕らは奇跡でできている","Fuji TV","4393","663","0","0","Dentist,Eccentric Male Lead,Teacher","643"
"Quartet","Karutetto","Jan 17, 2017 - Mar 21, 2017","Tuesday","Japan","45","10","Comedy,Friendship,Drama,Romance,Mystery,Music","カルテット","TBS","1891","659","8.4","664","Housemate,Multiple Mains,Cohabitation","2123"
"Gibo to Musume no Blues","Gibo to Musume no Buruusu,Blues of Stepmother and Daughter,Stepmother and Daughter's Blues","Jul 10, 2018 - Sep 18, 2018","Tuesday","Japan","57","10","Drama,Family,Comedy,Life","義母と娘のブルース","TBS","2498","664","8.4","529","Fate,Family Relationship,Stepmother,Single Parent,Step Family,Slight Romance,Adapted From A Manga,Mother-Daughter Relationship,Hardworking Female Lead","1487"
"It's Okay To Be Sensitive","Ok to be sensitive,Jom yeminhaedo gwenchanha","Jul 12, 2018 - Aug 16, 2018","Thursday,Tuesday","South Korea","10","12","Comedy,Friendship,Drama,Youth,Romance","좀 예민해도 괜찮아","Naver TV Cast","2490","665","8.4","531","Calm Male Lead,Personal Growth,Naive Female Lead,Feminism,Sismance,Sexual Harassment,Web Series,College Life,Female Centered Plot,Strong Female Lead","1495"
"Comrades","Jeonwoo,Jeonu,Legend of the Patriots","Jun 19, 2010 - Aug 22, 2010","Saturday,Sunday","South Korea","55","20","Drama,War,Military","전우","KBS1","3382","666","0","0","Korean War,Period Drama","959"
"Pegasus Market","Cheap Chollima Mart,Cheap Cheonrima Mart,Ssabnida Cheonrimamateu,Cheap Cheonlima Mart","Sep 20, 2019 - Dec  6, 2019","Friday","South Korea","75","12","Drama,Business,Comedy","쌉니다 천리마마트","tvN","2516","688","8.5","431","Supermarket,Odd Characters,Bromance,Team Work,Adapted From A Webtoon,Eccentric Character,Boss/Employee Relationship,Corruption,Bizzare Characters,Eccentric Male Lead","1472"
"A Korean Odyssey","Hwayugi,Hwayuki","Dec 23, 2017 - Mar  4, 2018","Saturday,Sunday","South Korea","80","20","Fantasy,Comedy,Horror,Drama,Romance,Zombies","화유기","tvN,Netflix","72","667","8.3","14359","Hate To Love,Supernatural Power,Love–Hate Relationship,Bromance,Eccentric Character,Deity,Demon,Aggressive Male Lead,Special Power,Ghost-seeing Female Lead","27235"
"Doctor X 4","Doctor-X,Dokuta-X ~Gekai・ Daimon Michiko~","Oct 13, 2016 - Dec 20, 2016","Thursday","Japan","45","11","Drama,Medical","ドクターX　～外科医・大門未知子～","TV Asahi","3512","669","8.5","459","","902"
"Saka no Tochu no Ie","Saka no Tochuu no Ie,A House on the Slope","Apr 27, 2019 - Jun  8, 2019","Saturday","Japan","50","6","Tragedy,Life,Psychological,Drama,Law,Family","坂の途中の家","WOWOW","5620","670","8.8","134","Adapted From A Novel,Female Centered Plot,Child Abuse","426"
"HiGH&LOW","HiGH and LOW,HiGH & LOW THE STORY OF S.W.O.R.D.","Oct 21, 2015 - Dec 23, 2015","Wednesday","Japan","21","10","Youth,Action,Friendship","HiGH & LOW ～THE STORY OF S.W.O.R.D.～","NTV","1832","672","8.4","846","Motorcycle Gang,Badass Male Lead,Delinquent,Bromance,Gang,Yakuza,Street Fight","2198"
"99.9: Keiji Senmon Bengoshi","99.9: Criminal Lawyer,","Apr 17, 2016 - Jun 19, 2016","Sunday","Japan","45","10","Law,Investigation,Comedy","99.9-刑事専門弁護士-","TBS","1410","673","8.4","1242","Lawyer,Nogizaka46,Arashi,Eccentric Male Lead,KAT-TUN,Signature Move,Idol Actor,Puns","2955"
