"name","other_names","air_dates","air_days","country","duration","episodes","genres","native_name","original_network","mdl_popularity","mdl_rank","mdl_num_reviews","mdl_rating","mdl_num_ratings","mdl_tags","mdl_num_watchers","db_rating","db_num_ratings","image_path"
"Together with Me","Together With Me ,  Together with Me the Series","Aug 24, 2017 - Oct  5, 2017","Wednesday, Thursday","Thailand","50 min.","13","Friendship,  Comedy,  Romance,  Life","Together with Me อกหักมารักกับผม","LINE TV,  LINE TV,  LINE TV","#415","#240","57 users","8.7","5519","Gay Relationship, Gay Character, Steamy Kiss, Friends To Lovers, Teacher/student, Multiple Couples, College Life, Childhood Friends, Love Triangle, Adapted From A Web Novel (Vote or add tags)","8,992","7.7","4016","together-with-me.jpg"
"Go Go Squid!","Mi Zhi Dun You Yu ,  Stewed Squid with Honey ,  Honey Stewed Squid ,  Qin Ai De, Re Ai De ,  蜜汁炖鱿鱼 ,  Dear love ,  親愛的. 熱愛的 ,  亲爱的热爱的 ,  Go! Go! Cinderella's Unrequited Love","Jul  9, 2019 - Jul 31, 2019","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday","China","45 min.","41","Friendship,  Business,  Comedy,  Romance,  School,  Youth","亲爱的，热爱的","Dragon TV,  ZJTV,  iQiyi,  iQiyi","#387","#242","76 users","8.7","4848","Cold Man/Warm Woman, Older Man/Younger Woman, Love At First Sight, Female Chases Male First, Adapted From A Novel, Age Gap, Gaming, Dream, Competent Protagonist, Rivalry (Vote or add tags)","9,659","6.6","302407","go-go-squid.jpg"
"Sotus S","","Dec  9, 2017 - Mar 10, 2018","Saturday","Thailand","45 min.","13","Romance,  School,  Drama","Sotus S the Series","GMM One","#471","#244","29 users","8.7","4789","Gay Character, Gay Relationship, Workplace, LGBTQ+, Adapted From A Web Novel, Multiple Couples (Vote or add tags)","8,087","8.3","6966","sotus-s.jpg"
"3 Nen A Gumi: Ima kara Mina-san wa, Hitojichi Desu","Class 3A - All of You Are Hostages From Now On ,  Sannen A-gumi - imakara minasan wa, hitojichi desu - ,  Mr. Hiiragi's Homeroom ,  3 Nen A Kumi: Ima kara Mina-san wa, Hitojichi Desu","Jan  6, 2019 - Mar 10, 2019","Sunday","Japan","54 min.","10","Action,  Suspense,  Friendship,  Mystery,  Psychological,  School,  Drama","3年A組 ―今から皆さんは、人質です―","NTV","#1174","#245","15 users","8.7","1495","High School, Life Lesson, School Bullying, Hostage, Teacher, Eccentric Male Lead, Student, Suicide, Smart Male Lead, Death (Vote or add tags)","3,577","8.5","84534","3-nen-a-gumi-ima-kara-mina-san-wa-hitojichi-desu.jpg"
"Queen Seon Duk","Seondeok Yeo Wang ,  The Great Queen Seondeok ,  Seondeok Yeowang ,  Queen Seon Deok ,  善德女王","May 25, 2009 - Dec 22, 2009","Monday, Tuesday","South Korea","1 hr. 5 min.","62","Historical,  Romance,  Drama,  War,  Tragedy,  Political","선덕여왕","MBC","#488","#246","19 users","8.7","3130","Smart Female Lead, Female Rivalry, Power Struggle, Throne Successor, Coup D'etat, Female Antagonist, Political Intrigue, Hidden Identity, Strong Female Lead, Cross-Dressing (Vote or add tags)","7,846","8.6","4104","queen-seon-duk.jpg"
"Juhan Shuttai!","Second Edition Occurance! ,  Sleepeeer Hit!","Apr 12, 2016 - Jun 14, 2016","Tuesday","Japan","54 min.","10","Business,  Comedy,  Life,  Drama","重版出来!","TBS","#1716","#250","8 users","8.7","905","Adapted From A Manga (Vote or add tags)","2,377","9.2","63116","juhan-shuttai.jpg"
"Ouroboros","Ouroboros - Kono Ai koso, Seigi ,","Jan 16, 2015 - Mar 20, 2015","","Japan","46 min.","10","Action,  Suspense,  Crime,  Detective,  Tragedy,  Investigation","ウロボロス この愛こそ、正義","TBS","#360","#252","23 users","8.6","3801","Bromance, Secret Organization, Orphan Male Lead, Police Officer, Secret Relationship, Mafia, Smart Male Lead, Hidden Identity, Trauma, Father-Son Relationship (Vote or add tags)","10,364","8.3","59347","ouroboros.jpg"
"The Princess' Man","Princess' Man ,   Kongjooui Namja ,   Gongjooeui Namja","Jul 20, 2011 - Oct  6, 2011","Wednesday, Thursday","South Korea","1 hr. 5 min.","24","Action,  Historical,  Romance,  Political","공주의 남자","KBS2","#209","#255","82 users","8.6","6536","Forbidden Love, Strong Male Lead, Strong Female Lead, Joseon Dynasty, Power Struggle, Family Pressure, Princess, Death, Star Crossed Lovers, Impulsive Female Lead (Vote or add tags)","14,971","7.9","7535","the-princess-man.jpg"
"W","W – Two Worlds ,  W-두 개의 세계 ,  W – Two Worlds Apart","Jul 20, 2016 - Sep 14, 2016","Wednesday, Thursday","South Korea","60 min.","16","Action,  Suspense,  Thriller,  Comedy,  Romance,  Drama,  Fantasy,  Melodrama","더블유","MBC","#7","#256","164 users","8.6","34113","Crossworlds Traveler, Rich Male Lead, Steamy Kiss, Webtoon Artist, Parallel Dimension, Serial Killer, Murder, Lovers Separated, Heartfelt, Star Crossed Lovers (Vote or add tags)","57,208","7.9","152180","w.jpg"
"Thirty But Seventeen","Seoreunijiman Yeolilgobibmida ,  Still 17 ,  Thirty, but Seventeen ,  30 but 17","Jul 23, 2018 - Sep 18, 2018","Monday, Tuesday","South Korea","35 min.","32","Friendship,  Music,  Mystery,  Comedy,  Romance,  Life,  Drama,  Family","서른이지만 열일곱입니다","SBS","#117","#260","51 users","8.6","10806","Naive Female Lead, Cohabitation, First Love, Tragic Past, Eccentric Male Lead, Trauma, Nice Female Lead, Healing, Love Triangle, Socially Awkward Protagonist (Vote or add tags)","20,742","7.5","6425","thirty-but-seventeen.jpg"
"dele","","Jul 27, 2018 - Sep 14, 2018","Friday","Japan","48 min.","8","Friendship,  Mystery,  Business,  Crime,  Life,  Drama,  Investigation","ディーリー","TV Asahi","#2032","#262","6 users","8.7","732","Disabled Character, Hacker, Episodic Format, Eccentric Male Lead, Nice Male Lead, Cold Man, Bromance, Death, Disability, Tragic Past (Vote or add tags)","1,958","8.5","40864","dele.jpg"
"Doctor John","Dagteolum ,  The Doctor's Room ,  The Doctor Room ,  Doctor's Room ,  닥터룸 ,  Doctor Room ,  Tongjeunguisa Chayohan ,  Pain Doctor Cha Yo Han ,  통증의사 차요한 ,  Doctor Cha ,  Uisa Yohan","Jul 19, 2019 - Sep  7, 2019","Friday, Saturday","South Korea","35 min.","32","Mystery,  Romance,  Drama,  Medical","의사 요한","SBS","#442","#264","31 users","8.6","3744","Doctor, Smart Male Lead, Euthanasia, PTSD, Trauma, Student/teacher, Adapted From A Novel, Mature Protagonist, Eccentric Male Lead, Age Gap (Vote or add tags)","8,508","8.2","4971","doctor-john.jpg"
"I'm Not a Robot","It's Not a Robot ,  Robosi Aniya ,  Roboti Aniya ,  I Am Not a Robot ,  She's not a robot","Dec  6, 2017 - Jan 25, 2018","Wednesday, Thursday","South Korea","35 min.","32","Friendship,  Comedy,  Romance,  Drama,  Sci-Fi","로봇이 아니야","MBC","#35","#266","87 users","8.6","21083","Hidden Identity, Rich Male Lead, Robot, Haphephobia, Deception, Eccentric Male Lead, Fluffy, Artificial Intelligence, Sismance, Betrayal (Vote or add tags)","36,964","7.6","10672","im-not-a-robot.jpg"
"Code Blue 3","","Jul 17, 2017 - Sep 18, 2017","Monday","Japan","45 min.","10","Drama,  Medical","コード・ブルー第3弾","Fuji TV","#1847","#268","6 users","8.7","959","Hey! Say! Jump, Nikkan Daily Sports Drama GP, Emergency Service, Doctor, Idol Actor (Vote or add tags)","2,176","8.5","16692","code-blue-3.jpg"
"Two Weeks","Toowikseu","Aug  7, 2013 - Sep 26, 2013","Wednesday, Thursday","South Korea","1 hr. 5 min.","16","Action,  Suspense,  Thriller,  Drama,  Investigation","투윅스","MBC","#198","#267","37 users","8.6","6928","Wrongfully Accused, Strong Male Lead, Crime Solving, Police Officer, Single Parent, Conspiracy, Father-Daughter Relationship, Gang, Child, First Love (Vote or add tags)","15,461","8.4","8478","two-weeks.jpg"
"Voice","The Voice ,  더 보이스 ,  Boiseu","Jan 14, 2017 - Mar 12, 2017","Saturday, Sunday","South Korea","60 min.","16","Thriller,  Mystery,  Psychological,  Detective,  Investigation","보이스","OCN","#231","#269","18 users","8.6","6561","Strong Female Lead, Special Power, Serial Killer, Psychopath, Golden Hour, Stoic Characters, Smart Protagonist, Tough Female Lead, Sly Character, Competent Protagonist (Vote or add tags)","14,388","7.6","12231","voice.jpg"
"Boku no Ita Jikan","Time I Was In ,   The Hours of My Life","Jan  8, 2014 - Mar 19, 2014","Wednesday","Japan","54 min.","11","Romance,  Life,  Drama,  Melodrama","僕のいた時間","Fuji TV","#371","#271","25 users","8.6","3618","Disability, Terminal Illness, Tearjerker, Illness, Nice Male Lead, Love Confession, Smart Male Lead, Mother-Daughter Relationship, Father-Son Relationship, Strong Female Lead (Vote or add tags)","10,055","8.2","11253","boku-no-ita-jikan.jpg"
"Queen In Hyun's Man","Inhyeonwanghooui Namja   ,   Queen Inhyun's Man  ,   Queen And I","Apr 18, 2012 - Jun  7, 2012","Wednesday, Thursday","South Korea","45 min.","16","Historical,  Comedy,  Romance,  Supernatural","인현왕후의 남자","tvN","#44","#274","141 users","8.6","16526","Time Travel, Joseon Dynasty, Smart Male Lead, Calm Male Lead, Famous Lead/Common Lead, Actress, Scholar, Nice Male Lead, Female Chases Male First, Strong Male Lead (Vote or add tags)","31,957","8.5","73257","queen-in-hyuns-man.jpg"
"Arsenal Military Academy","Lie Huo Jun Xiao ,","Aug  6, 2019 - Sep  6, 2019","Tuesday, Wednesday, Thursday, Friday","China","45 min.","48","Action,  Military,  Friendship,  Historical,  Comedy,  Romance","烈火军校","iQiyi,  iQiyi","#921","#275","35 users","8.6","1670","Cross-Dressing, Hardworking Female Lead, Strong Female Lead, Teamwork, Hate To Love, Smart Female Lead, Eccentric Male Lead, Smart Male Lead, Slow Burn Romance, Character Development (Vote or add tags)","4,451","6.7","22306","arsenal-military-academy.jpg"
"Ever Night","将夜之帝国的清晨 ,  Jiang Ye ,  Ever Night Season 1 ,  將夜","Oct 31, 2018 - Jan  4, 2019","Wednesday, Thursday, Friday","China","45 min.","60","Action,  Adventure,  Romance,  Wuxia,  Drama,  Martial Arts,  Fantasy","将夜","Tencent Video","#959","#277","25 users","8.7","1233","Strong Male Lead, Revenge, Adapted From A Novel, Height Difference, Master-Student Relationship, Strong Female Characters, Fight, Sword-fight, Xianxia, Hidden Identity (Vote or add tags)","4,281","7.4","51322","ever-night.jpg"
